POPULATION (x1000),1960,1970,1980,1990,2000
Core (City of Atlanta),487,497,425,394,416
Inner Suburbs,326,526,648,801,"1,066"
Total Outer Suburban,761,"1,013","1,478","2,121","3,067"
,,,,,
